25	49	// format: #_of_verticies /t #_of_edges
0	a	60	60
1	b	120	60
2	c	180	60
3	d	240	60	
4	e	300	60
5	f	60	120
6	S	120	120
7	g	180	120
8	h	240	120
9	i	300	120
10	j	60	180
11	k	120	180
12	l	180	180
13	m	240	180
14	n	300	180
15	o	60	240
16	p	120	240
17	q	180	240
18	T	240	240
19	r	300	240
20	u	60	300
21	v	120	300
22	w	180	300
23	x	240	300
24	y	300	300
0	0	1	capacity	11
1	1	2	capacity	11
2	2	3	capacity	6
3	4	3	capacity	4
5	0	5	capacity	12
6	6	0	capacity	18
7	6	2	capacity	10
8	2	8	capacity	9
9	3	8	capacity	12
10	8	4	capacity	5
11	4	9	capacity	4
12	6	7	capacity	20
13	8	7	capacity	7
14	5	10	capacity	10
15	11	5	capacity	4
16	6	11	capacity	12
17	12	7	capacity	4
18	8	12	capacity	12
19	14	8	capacity	6
20	9	14	capacity	12
21	10	11	capacity	8
22	12	11	capacity	3
23	12	13	capacity	3
24	14	13	capacity	4
25	10	15	capacity	15
26	16	10	capacity	6
27	11	16	capacity	7
28	11	17	capacity	11
29	17	13	capacity	3
30	13	19	capacity	10
31	19	14	capacity	2
32	15	16	capacity	20
33	17	16	capacity	5
34	17	18	capacity	8
35	19	18	capacity	9
36	20	15	capacity	7
37	16	20	capacity	18
38	16	21	capacity	5
39	21	17	capacity	13
40	22	17	capacity	4
41	17	23	capacity	9
42	23	18	capacity	11
43	24	18	capacity	10
44	19	24	capacity	7
45	20	21	capacity	6
46	21	22	capacity	10
47	23	22	capacity	4
48	23	24	capacity	3
